"","Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Origin"
"Alfa Romeo Giulietta","Alfa Romeo","Giulietta","Giulietta 1.6 JTDM-2 105 Veloce 5d","Diesel",9.96411217435256,4,7.37650812632622,"Front",4.65396035015752,5.46383180502561,11.3,4.74493212836325,64,1385,4351,1798,1465,"optional","standard","standard","no","standard","standard","standard","optional","optional","optional","standard","optional","standard","Europe"
"Alfa Romeo MiTo","Alfa Romeo","MiTo","MiTo 1.4 TB MultiAir 105 Distinctive 3d","Petrol",9.6260857894919,4,7.2211050981825,"Front",4.65396035015752,4.55387689160054,10.7,4.75359019110636,49,1090,4063,1720,1446,"optional","standard","standard","no","standard","optional","standard","no","optional","standard","standard","optional","standard","Europe"
"Aston Martin Cygnet","Aston Martin","Cygnet","Cygnet 1.33 Standard 3d","Petrol",10.341581180136,4,7.19218205871325,"Front",4.58496747867057,4.52178857704904,11.8,4.66343909411207,56,988,3078,1680,1500,"no","standard","no/optional","optional","standard","standard","standard","no","no","no","standard","standard","standard","Europe"
"Aston Martin DB9","Aston Martin","DB9","DB9 6.0 517 Standard 2d 13MY","Petrol",11.7905193220632,12,8.68862230704377,"Rear",6.24804287450843,6.12468339089421,4.6,5.20948615284142,19,1785,4720,NA,1282,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Aston Martin DB9 Volante","Aston Martin","DB9 Volante","DB9 6.0 V12 517 Volante 2d 13MY","Petrol",11.8635471246959,12,8.68862230704377,"Rear",6.24804287450843,6.12468339089421,4.6,5.20948615284142,19,1890,4720,NA,1282,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Aston Martin V12 Zagato","Aston Martin","V12 Zagato","V12 Zagato 6.0 V12 Standard 2d","Petrol",12.8891694902366,12,8.68862230704377,"Rear",6.23441072571837,6.04025471127741,4.2,5.24702407216049,17,1680,4385,1865,1250,"no","standard","standard","no","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Aston Martin Vanquish","Aston Martin","Vanquish","Vanquish 6.0 V12 Standard 2d","Petrol",12.1547530350069,12,8.68862230704377,"Rear",6.35088571671474,6.12468339089421,4.1,5.20948615284142,19,1739,4720,1910,1294,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Aston Martin Vantage","Aston Martin","Vantage","V8 Vantage 4.7 V8 420 Standard 2d","Petrol",11.3503477102129,8,8.46273700562018,"Rear",6.04025471127741,5.84643877505772,4.7,5.19295685089021,20,1630,4385,1865,1260,"no","standard","standard","optional","optional","standard","optional","standard","standard","standard","standard","optional","standard","Europe"
"Aston Martin Vantage Roadster","Aston Martin","Vantage Roadster","V8 Vantage 4.7 420 Roadster 2d","Petrol",11.4509968683481,8,8.46273700562018,"Rear",6.04025471127741,5.84643877505772,4.7,5.19295685089021,20,1710,4385,1865,1270,"no","standard","standard","optional","optional","standard","optional","standard","standard","standard","standard","optional","standard","Europe"
"Audi A1","Audi","A1","A1 1.2 TFSI 86 S line 3d","Petrol",9.74243813101771,4,7.08757370555797,"Front",4.45434729625351,4.77068462446567,11.7,4.71849887129509,55,1040,3954,1740,1416,"optional","standard","standard","no","standard","optional","optional","no","optional","optional","standard","optional","standard","Europe"
"Audi A3","Audi","A3","A3 1.4 TFSI 122 S line 3d 2012","Petrol",10.0248198377037,4,7.24064969425547,"Front",4.80402104473326,4.99043258677874,9.3,4.83628190695148,54,1175,4237,1777,1421,"optional","standard","standard","no","standard","standard","optional","optional","optional","optional","standard","optional","standard","Europe"
"Audi A4","Audi","A4","A4 2.0 TDI 177 Black Edition 4d","Diesel",10.3586947525391,4,7.5847730776122,"Front",5.17614973257383,5.63478960316925,8.2,4.96284463025991,61,1480,4701,1826,1477,"standard","standard","standard","no","standard","no","standard","optional","no","standard","standard","no","standard","Europe"
"Audi A4 Allroad","Audi","A4 Allroad","A4 Allroad 2.0 TFSI 225 quattro Standard 5d Avant","Petrol",10.4200467081499,4,7.59287028784482,"4WD",5.41610040220442,5.55295958492162,6.5,5.00394630594546,40,1610,4699,1826,1436,"standard","standard","standard","standard","standard","no","standard","optional","no","standard","standard","no","standard","Europe"
"Audi A5","Audi","A5","A5 Coupe 3.0 TDI 204 S line 2d","Diesel",10.5083498182285,6,7.99530662029082,"Front",5.31811999384422,5.68697535633982,7.1,4.98360662170834,57,1565,4626,1854,1372,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","optional","standard","Europe"
"Audi A5 Sportback","Audi","A5 Sportback","A5 Sportback 2.0 TFSI 211 quattro SE 5d","Petrol",10.412261072176,4,7.59287028784482,"4WD",5.35185813347607,5.55295958492162,6.6,5.01063529409626,40,1615,4712,1854,1391,"standard","standard","standard","standard","standard","standard","optional","optional","standard","standard","standard","optional","standard","Europe"
"Audi A6 Avant","Audi","A6 Avant","A6 3.0 TDI 245 quattro S Line 5d Avant","Diesel",10.6989656641935,6,7.99530662029082,"4WD",5.50125821054473,6.05678401322862,6.3,5.01727983681492,47,1790,4926,1874,1461,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","standard","standard","Europe"
"Audi A6 Saloon","Audi","A6 Saloon","A6 3.0 TDI 245 quattro SE 4d","Diesel",10.5956342327625,6,7.99530662029082,"4WD",5.50125821054473,6.05678401322862,6.1,5.04342511691925,47,1720,4915,1874,1455,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","standard","standard","Europe"
"Audi A7 Sportback","Audi","A7 Sportback","A7 Sportback 3.0 TFSI quattro SE 5d","Petrol",10.8015124756034,6,8.00469951054955,"4WD",5.7037824746562,5.78074351579233,5.6,5.04342511691925,34,1770,4969,1911,1420,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Audi A8","Audi","A8","A8 4.2 TDI 350 quattro SE Executive 4d","Diesel",11.1387409768951,6,8.32700074024171,"4WD",5.85793315448346,6.38012253689976,5.5,5.04342511691925,38,1995,5137,1949,1460,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Audi Q3","Audi","Q3","Q3 2.0 TDI 140 quattro S line 5d","Diesel",10.2839766745741,4,7.5847730776122,"4WD",4.9416424226093,5.46383180502561,9.9,4.80402104473326,49,1535,4385,1831,1608,"standard","standard","standard","no","standard","standard","optional","no","no","standard","standard","optional","standard","Europe"
"Audi Q5","Audi","Q5","Q5 2.0 TDI 143 quattro S line 5d","Diesel",10.3911468982703,4,7.5847730776122,"4WD",4.96284463025991,5.46383180502561,11.4,4.77068462446567,45,1755,4629,1880,1653,"standard","standard","standard","no","optional","standard","optional","optional","standard","standard","standard","optional","standard","Europe"
"Audi Q7","Audi","Q7","Q7 3.0 TDI 245 quattro S Line 5d","Diesel",10.74688495889,6,7.99530662029082,"4WD",5.50125821054473,6.00388706710654,7.8,4.90527477843843,38,2300,5089,1983,1737,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard","Europe"
"Audi R8","Audi","R8","R8 4.2 V8 430 Coupe 2d","Petrol",11.424913587647,8,8.33399124719497,"4WD",6.06378520868761,5.75890177387728,4.6,5.23644196282995,19,1560,4440,1904,1252,"standard","standard","standard","optional","standard","standard","optional","optional","standard","optional","standard","standard","standard","Europe"
"Audi R8 V10","Audi","R8 V10","R8 5.2 V10 525 Spyder 2d","Petrol",11.7066402055936,10,8.5571828396324,"4WD",6.26339826259162,5.96614673912369,3.1,5.26785815906333,19,1720,4440,1904,1244,"standard","standard","standard","optional","standard","standard","optional","standard","standard","optional","standard","standard","standard","Europe"
"Audi RS4 Avant","Audi","RS4 Avant","A4 4.2 V8 RS 4 5d Avant","Petrol",10.9137238972528,8,8.33399124719497,"4WD",6.10924758276437,5.75890177387728,4.7,5.04342511691925,26,1795,4719,1850,1416,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","no","standard","standard","Europe"
"Audi TT Coupe","Audi","TT Coupe","TT 2.0 TFSI 211 quattro Coupe S line 2011 2d","Petrol",10.3778566392915,4,7.59287028784482,"4WD",5.35185813347607,5.55295958492162,5.6,5.01063529409626,39,1360,4178,1842,1352,"optional","standard","standard","standard","optional","standard","optional","optional","standard","optional","standard","optional","standard","Europe"
"Audi TT Roadster","Audi","TT Roadster","TT 2.0 TFSI 211 quattro Roadster S line 2011 2d","Petrol",10.4376390016056,4,7.59287028784482,"4WD",5.35185813347607,5.55295958492162,5.8,5.00394630594546,38,1405,4178,1842,1358,"optional","standard","standard","standard","optional","standard","optional","optional","standard","optional","standard","optional","standard","Europe"
"Bentley Continental","Bentley","Continental","Continental GT 6.0 W12 575 GT 2d","Petrol",11.8332683196616,12,8.69918135930895,"4WD",6.35437004079735,6.24610676548156,4.4,5.28826703069454,17,2320,4806,1944,1404,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Bentley Continental GTC","Bentley","Continental GTC","Continental GT 4.0 V8 500 GTC 2d","Petrol",11.8222467125255,8,8.29229810706322,"4WD",6.21460809842219,6.18826412308259,4.7,5.23110861685459,25,2470,4806,1920,1403,"standard","standard","standard","standard","no","standard","no","standard","standard","standard","standard","no","standard","Europe"
"Bentley Flying Spur","Bentley","Flying Spur","Flying Spur 6.0 W12","Petrol",11.7996070370884,12,8.69918135930895,"Rear",6.32076829425058,6.17170059741091,4.9,5.27299955856375,17,2475,5290,1920,1475,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Bentley Mulsanne","Bentley","Mulsanne","Mulsanne 6.75 V8 Standard 4d","Petrol",12.3325070389263,8,8.81729778386658,"Rear",6.23832462503951,6.62273632394984,5.1,5.21493575760899,16,2585,5562,1926,1526,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"BMW 1 Series","BMW","1 Series","118d SE 5d","Diesel",10.0096477483645,4,7.59839932932396,"Rear",4.96284463025991,5.46383180502561,8.9,4.88280192258637,62,1395,4324,1765,1421,"optional","standard","no/optional","optional","standard","standard","no","no","optional","optional","standard","optional","standard","Europe"
"BMW 1 Series Convertible","BMW","1 Series Convertible","120d SE Convertible 2d","Diesel",10.2396025825095,4,7.59839932932396,"Rear",5.15329159449778,5.55295958492162,8.1,4.92725368515721,56,1585,4360,1748,1411,"no","standard","standard","optional","optional","standard","optional","optional","optional","standard","standard","optional","standard","Europe"
"BMW 1 Series Coupe","BMW","1 Series Coupe","120i M Sport Coupe 2d","Petrol",10.1648898159674,4,7.59839932932396,"Rear",5.13579843705026,5.03695260241363,7.8,4.93447393313069,43,1375,4360,1748,1423,"optional","standard","standard","optional","optional","standard","optional","optional","optional","standard","standard","optional","standard","Europe"
"BMW 3 Series","BMW","3 Series","328i Luxury 4d 2012","Petrol",10.3596457749598,4,7.59940133341582,"Rear",5.50125821054473,5.55295958492162,5.9,5.04342511691925,44,1430,4624,1811,1429,"standard","standard","no/optional","optional","standard","standard","standard","optional","standard","standard","standard","optional","standard","Europe"
"BMW 3 Series Convertible","BMW","3 Series Convertible","325i M Sport 2d Convertible","Petrol",10.5732381552897,6,8.00503334463711,"Rear",5.38449506278909,5.29330482472449,7.6,5.02388052084628,37,1730,4580,1782,1384,"no","standard","standard","optional","optional","standard","standard","standard","standard","standard","standard","optional","standard","Europe"
"BMW 4 Series Coupe","BMW","4 Series Coupe","428i Luxury 2d","Petrol",10.4658139491645,4,7.59940133341582,"Rear",5.50125821054473,5.55295958492162,5.9,5.04342511691925,42,1525,4638,1825,1362,"standard","standard","no/optional","optional","standard","standard","standard","optional","standard","standard","standard","standard","standard","Europe"
"BMW 6 Series","BMW","6 Series","640i M Sport 2d Coupe","Petrol",11.0702256702518,6,7.99934295271328,"Rear",5.76832099579377,5.80211837537706,5.4,5.04342511691925,36,1735,4894,1894,1369,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"BMW 6 Series Convertible","BMW","6 Series Convertible","640i M Sport 2d Convertible","Petrol",11.157820716201,6,7.99934295271328,"Rear",5.76832099579377,5.80211837537706,5.7,5.04342511691925,35,1915,4894,1894,1365,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"BMW 6 Series Gran Coupe","BMW","6 Series Gran Coupe","640d Gran Coupe 3.0d 313 SE 4d","Diesel",11.0649963900428,6,8.0040315078527,"Rear",5.74620319054015,6.13988455222626,5.4,5.04342511691925,50,1865,5007,1894,1392,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"BMW 7 Series","BMW","7 Series","750i Standard 4d","Petrol",11.1752124589129,8,8.38822281011928,"Rear",6.10702288774225,6.17170059741091,4.8,5.04342511691925,32,2015,5079,1902,1471,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"BMW i3","BMW","i3","i3 EV Range Extender 5d","Petrol",10.4291032617748,2,6.4723462945009,"Rear",5.13579843705026,5.21493575760899,7.9,4.53259949315326,470,1315,3999,1775,1578,"no","standard","no/optional","standard","standard","standard","standard","no","optional","optional","standard","standard","standard","Europe"
"BMW M3","BMW","M3","M3 4.0 V8 2010 2d Convertible","Petrol",10.9791723365605,8,8.29379960884682,"Rear",6.04025471127741,5.68697535633982,5.3,5.04342511691925,22,1885,4615,1804,1392,"no","standard","standard","optional","optional","standard","standard","standard","standard","standard","standard","optional","standard","Europe"
"BMW M6","BMW","M6","M6 4.4 V8 TT 2d Coupe","Petrol",11.4491333318824,8,8.38822281011928,"Rear",6.32793678372919,6.21660610108486,4.2,5.04342511691925,28,NA,4898,1899,1368,"no","no","no/optional","standard","no","no","no","no","no","no","no","no","no","Europe"
"BMW X1","BMW","X1","X1 sDrive20d xLine 5d","Diesel",10.2431689200983,4,7.59839932932396,"Rear",5.21493575760899,5.63478960316925,7.8,4.91265488573605,57,NA,4477,1798,1545,"no","standard","no/optional","optional","standard","standard","optional","optional","standard","standard","standard","optional","standard","Europe"
"BMW X3","BMW","X3","X3 xDrive20d M Sport 2010 5d","Diesel",10.4291032617748,4,7.59839932932396,"4WD",5.21493575760899,5.63478960316925,8.5,4.86753445045558,50,1790,4648,1881,1675,"no","standard","standard","optional","optional","standard","standard","no","standard","standard","standard","optional","standard","Europe"
"BMW X5","BMW","X5","X5 xDrive50i SE 5d","Petrol",11.0024331189944,8,8.38822281011928,"4WD",6.10702288774225,6.17170059741091,5,5.04342511691925,27,2175,4896,1938,1762,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"BMW X6","BMW","X6","X6 xDrive50i 5d","Petrol",10.9666453602198,8,8.38822281011928,"4WD",6.01126717440416,6.0913098820777,5.4,5.00394630594546,22,2265,4877,1983,1690,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard","Europe"
"BMW Z4","BMW","Z4","Z4 sDrive28i M Sport 2d","Petrol",10.5135248263731,4,7.59940133341582,"Rear",5.50125821054473,5.55295958492162,5.7,5.04342511691925,41,1490,4239,1790,1291,"no","standard","no/optional","optional","optional","no","optional","optional","standard","optional","standard","optional","standard","Europe"
"Bugatti Veyron","Bugatti","Veyron","Veyron 8.0 W16 Grand Sport 2d","Petrol",13.9465256623894,16,8.98632143762602,"4WD",6.89467003943348,6.82654522355659,2.5,5.52942908751142,10,1990,4462,1998,1204,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Caterham CSR","Caterham","CSR","CSR 2.3 260 260","Petrol",10.714306651468,4,7.72356247227797,"Rear",5.56068163101553,5.29831736654804,3.1,5.04342511691925,NA,575,3300,1685,1140,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no","Europe"
"Caterham Super 7","Caterham","Super 7","Seven 1.6 125 Roadsport 2d","Petrol",10.043032079974,4,7.37525577800975,"Rear",4.8283137373023,4.78749174278205,5.9,4.71849887129509,NA,550,3380,1575,1115,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no","Europe"
"Chevrolet Aveo","Chevrolet","Aveo","Aveo 1.3 VCDi 75 LT 5d 2012","Diesel",9.44026090756942,4,7.12929754892937,"Front",4.31748811353631,4.9416424226093,14.1,4.61512051684126,74,1172,4039,1735,1517,"no","standard","no/optional","no","standard","no","standard","no","no","no","standard","no","standard","USA"
"Chevrolet Camaro","Chevrolet","Camaro","Camaro 6.2 V8 Standard 2d Convertible","Petrol",10.5965097252829,8,8.72615667915661,"Rear",6.06842558824411,6.03787091992214,5.6,5.04342511691925,20,1890,4836,1918,1376,"no","no","no/optional","optional","no","standard","no","no","no","no","no","no","standard","USA"
"Chevrolet Captiva","Chevrolet","Captiva","Captiva 2.2 VCDi 184 4WD LT 5d","Petrol",10.2290071704672,4,7.71020519443253,"4WD",5.21493575760899,5.68697535633982,9.3,4.82028156560504,42,1855,4675,1850,1725,"standard","no","standard","optional","standard","standard","standard","no","no","standard","standard","no","standard","USA"
"Chevrolet Cruze","Chevrolet","Cruze","Cruze 2.0 VCDi LS 4d","Diesel",9.72136597574484,4,7.5963923040642,"Front",4.8283137373023,5.39816270151775,10.3,4.80402104473326,51,1427,4597,1788,1477,"no","standard","standard","no","no","no","no","no","no","standard","standard","no","standard","USA"
"Chevrolet Orlando","Chevrolet","Orlando","Orlando 2.0 VCDi 130 LT 5d","Diesel",9.83333329261292,4,7.5999019592085,"Front",4.86753445045558,5.44673737166631,9.9,4.79579054559674,47,1655,4652,1836,1633,"no","standard","standard","no","no","standard","no","no","no","standard","standard","no","standard","USA"
"Chevrolet Spark","Chevrolet","Spark","Spark 1.2 LS 5d","Petrol",9.1689974084418,4,7.09506437728713,"Front",4.39444915467244,4.39444915467244,12.1,4.62497281328427,55,864,3640,1597,1522,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","optional","USA"
"Chevrolet Volt","Chevrolet","Volt","Volt 1.4 EREV Standard 5d","Petrol",10.4703626421531,4,7.24279792279376,"Front",4.45434729625351,5.605802066296,9,4.59511985013459,235,1732,4498,1787,1439,"no","no","standard","standard","standard","standard","no","no","standard","standard","standard","no","standard","USA"
"Chrysler 300C","Chrysler","300C","300C 3.0 CRD Executive 4d","Diesel",10.5965097252829,6,8.00570067866254,"Rear",5.46383180502561,5.98896141688986,7.4,4.969813299576,39,2117,5066,1902,1488,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","USA"
"Chrysler Delta","Chrysler","Delta","Delta 1.4 M-Air 140 SE 5d","Petrol",9.79784922051313,4,7.2211050981825,"Front",4.9416424226093,5.13579843705026,9.2,4.83628190695148,49,1395,4520,1797,1497,"optional","standard","standard","no","optional","optional","optional","no","optional","optional","standard","optional","standard","USA"
"Chrysler Grand Voyager","Chrysler","Grand Voyager","Grand Voyager 2.8 CRD SR 5d","Diesel",10.317086160541,4,7.9291264873068,"Front",5.18178355029209,5.57972982598622,12.8,4.74493212836325,35,2305,5218,1998,1818,"no","no","standard","no","standard","standard","standard","standard","no","standard","standard","optional","standard","USA"
"Chrysler Ypsilon","Chrysler","Ypsilon","Ypsilon 1.2 SE 5d","Petrol",9.39224517527379,4,7.12447826249342,"Front",4.23410650459726,4.31748811353631,14,4.61512051684126,57,965,3842,1676,1520,"no","no","no/optional","no","optional","optional","optional","no","no","optional","standard","no","optional","USA"
"Citroen C1","Citroen","C1","C1 1.0 68 VTR 3d","Petrol",9.10442414638463,3,6.90575327631146,NA,4.21950770517611,4.24849524204936,14.2,4.60517018598809,65,NA,NA,NA,NA,"no","no","no/optional","no","optional","no","no","no","no","no","no","no","optional","Europe"
"Citroen C3","Citroen","C3","C3 1.4 HDi 70 VTR+ 5d","Diesel",9.58809164151683,4,7.24279792279376,"Front",4.24849524204936,4.77068462446567,13.5,4.61512051684126,74,1145,3941,1728,1524,"no","standard","no/optional","no","standard","no","no","no","no","no","standard","optional","optional","Europe"
"Citroen C3 Picasso","Citroen","C3 Picasso","C3 Picasso 1.6 HDi 90 VTR+ 5d","Diesel",9.6417980603586,4,7.35244110024358,"Front",4.49980967033027,5.12989871492307,13.5,4.68213122712422,62,1329,4078,1766,1631,"optional","standard","no/optional","no","standard","optional","standard","no","no","no","standard","no","no","Europe"
"Citroen C4","Citroen","C4","C4 1.6 HDi 110 VTR+ 5d","Diesel",9.8545598789127,4,7.35244110024358,"Front",4.70048036579242,5.29330482472449,11.3,4.77068462446567,61,1440,4329,1789,1491,"optional","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","optional","standard","Europe"
"Citroen C4 Picasso","Citroen","C4 Picasso","C4 Picasso 1.6 e-HDi 115 Airdream VTR+ 5d","Diesel",9.91615695563679,4,7.35244110024358,"Front",4.74493212836325,5.29330482472449,11.8,4.76217393479776,70,1298,4428,1826,1610,"standard","no","no/optional","optional","standard","standard","no","no","no","standard","no","optional","standard","Europe"
"Citroen C5","Citroen","C5","C5 1.6 e-HDi 110 Airdream EGS6 VTR+ NAV 4d","Diesel",10.0076223172681,4,7.35244110024358,"Front",4.70048036579242,5.29330482472449,12.6,4.77068462446567,61,1525,4779,1860,1451,"standard","no","standard","standard","standard","standard","standard","optional","optional","optional","no","standard","standard","Europe"
"Citroen C5 Tourer","Citroen","C5 Tourer","C5 1.6 e-HDi 110 Airdream EGS6 VTR+ NAV 5d Tourer","Diesel",10.0559940242509,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"no","no","no/optional","standard","no","no","no","optional","optional","no","no","no","standard","Europe"
"Citroen DS3","Citroen","DS3","DS3 1.6 THP 155 DSport 3d","Petrol",9.74390548271166,4,7.37650812632622,"Front",4.74493212836325,5.17614973257383,7.3,4.89034912822175,47,1223,3948,1715,1483,"no","standard","standard","no","no","standard","standard","no","no","no","standard","no","standard","Europe"
