"","Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Origin"
"Citroen DS4","Citroen","DS4","DS4 1.6 THP 155 EGS6 DStyle 5d","Petrol",9.97347992435616,4,7.37650812632622,"Front",5.04342511691925,5.17614973257383,9.9,4.89034912822175,43,1420,4275,1810,1523,"standard","standard","standard","standard","standard","standard","standard","no","optional","standard","standard","optional","standard","Europe"
"Citroen DS5","Citroen","DS5","DS5 2.0 HDi Hybrid4 200 Airdream DSign 5d","Diesel",10.2255710517052,4,7.59940133341582,"4WD",5.29831736654804,5.39816270151775,8.3,4.87519732320115,80,1856,4530,1871,1539,"standard","standard","standard","standard","standard","standard","standard","optional","optional","optional","standard","optional","standard","Europe"
"Corvette C6","Corvette","C6","6.2 V8 Convertible LHD","Petrol",11.1340341257971,8,8.72615667915661,"Rear",6.07993319509559,6.04973345523196,4.3,5.2257466737132,21,1460,4435,1844,1246,"no","no","standard","optional","no","standard","standard","standard","standard","no","standard","optional","standard","USA"
"Dacia Duster","Dacia","Duster","Duster 1.5 dCi 110 4x2 Ambiance 5d","Diesel",9.34966743719728,4,7.2868764117507,"Front",4.70048036579242,5.17614973257383,11.8,4.66343909411207,56,1205,4315,1822,1695,"no","no","no/optional","no","standard","no","no","no","no","no","standard","no","optional","Europe"
"Dacia Sandero","Dacia","Sandero","Sandero 1.2 75 Laureate 5d","Petrol",8.98657162526805,4,7.04664727784876,"Front",4.31748811353631,4.35670882668959,14.5,4.57471097850338,47,941,4058,1732,1518,"no","no","no/optional","no","optional","no","standard","no","optional","optional","standard","optional","standard","Europe"
"Ferrari 458","Ferrari","458","458 Italia 4.5 V8 Spider 2d","Petrol",12.2007384439395,8,8.41161042884117,"Rear",6.33150184989369,5.98645200528444,3.4,5.28826703069454,21,1430,4527,1937,1211,"no","standard","standard","standard","standard","standard","optional","optional","standard","optional","standard","optional","standard","Europe"
"Ferrari California","Ferrari","California","California 4.3 V8 30 2d","Petrol",11.9323986666662,8,8.365672383775,"Rear",6.19440539110467,5.91079664404053,3.8,5.26785815906333,21,1600,NA,NA,NA,"standard","standard","standard","no","standard","standard","optional","standard","standard","standard","standard","standard","standard","Europe"
"Ferrari F12","Ferrari","F12","F12 6.3 V12 berlinetta 2d","Petrol",12.3855443119081,12,8.74225490188635,"Rear",6.60665018619822,6.23048144757848,3.1,5.35185813347607,18,NA,4618,1942,1273,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Ferrari FF","Ferrari","FF","FF 6.3 V12 4d","Petrol",12.3331765510444,12,8.74225490188635,"4WD",6.49223983502047,6.22059017009974,3.7,5.33753807970132,18,1790,4905,1955,1380,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Fiat 500","Fiat","500","500 1.3 MultiJet 95 Pop 3d","Petrol",9.41735454136051,4,7.12929754892937,"Front",4.55387689160054,5.01063529409626,11.7,4.70953020131233,72,980,3546,1627,1488,"no","no","no/optional","no","optional","optional","no","no","optional","optional","standard","no","optional","Europe"
"Fiat 500 Abarth","Fiat","500 Abarth","Abarth 500 1.4 T-Jet 160 595 Turismo 3d","Petrol",9.78273135140033,4,7.2211050981825,"Front",5.07517381523383,5.12989871492307,7.4,4.87519732320115,43,1075,3660,1630,1490,"no","no","no/optional","optional","standard","optional","no","no","optional","standard","standard","optional","standard","Europe"
"Fiat 500L","Fiat","500L","500L 0.9 TwinAir 105 Easy 5d","Petrol",9.71050941555364,2,6.77422388635761,"Front",4.65396035015752,4.66343909411207,12.3,4.71849887129509,58,1260,4147,1784,1667,"optional","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","no","standard","Europe"
"Fiat Bravo","Fiat","Bravo","Bravo Series 2 1.4 MultiAir 140 Easy 5d","Petrol",9.75846178048587,4,7.2211050981825,"Front",4.9416424226093,5.12989871492307,8.9,4.83628190695148,49,1275,4336,1792,1498,"optional","standard","no/optional","no","standard","optional","optional","no","optional","optional","standard","no","standard","Europe"
"Fiat Doblo","Fiat","Doblo","Doblo 1.6 MultiJet 105 Active 2010 5d","Diesel",9.6614159913364,4,7.37650812632622,"Front",4.65396035015752,5.36129216570943,13.4,4.62497281328427,54,1410,4390,1832,1845,"no","standard","no/optional","no","no","no","no","no","no","no","standard","no","standard","Europe"
"Fiat Panda","Fiat","Panda","Panda 0.9 TwinAir 85 Lounge 5d","Petrol",9.32812340763257,2,6.77422388635761,"Front",4.44265125649032,4.66343909411207,11.2,4.70048036579242,67,1050,3653,1643,1551,"no","no","no/optional","optional","optional","optional","no","no","no","optional","standard","optional","optional","Europe"
"Fiat Punto Evo","Fiat","Punto Evo","Punto 1.4 MultiAir Abarth 3d","Petrol",9.76967040480179,4,7.2211050981825,"Front",5.10594547390058,5.21493575760899,7.9,4.88280192258637,47,1100,4064,1726,1490,"no","standard","no/optional","no","standard","optional","standard","no","no","no","standard","no","standard","Europe"
"Ford B-Max","Ford","B-Max","B-Max 1.5 TDCi 75 Zetec 5d","Diesel",9.74067446213022,4,7.31055015853442,"Front",4.31748811353631,4.9416424226093,16.5,4.58496747867057,68,NA,NA,NA,NA,"no","standard","standard","no","standard","no","no","no","no","optional","standard","no","standard","USA"
"Ford C-Max","Ford","C-Max","C-Max 1.6 TDCi 115 Titanium 5d","Diesel",9.93764740418283,4,7.35244110024358,"Front",4.74493212836325,5.29330482472449,11.3,4.7361984483945,61,1390,4380,1828,1626,"standard","standard","standard","no","standard","standard","standard","no","no","optional","standard","optional","standard","USA"
"Ford Fiesta","Ford","Fiesta","Fiesta 1.0 80 Titanium 5d","Petrol",9.60541838719786,3,6.90675477864855,"Front",4.38202663467388,4.34380542185368,14.9,4.63472898822964,65,1045,3969,1722,1468,"standard","standard","standard","no","optional","standard","standard","no","optional","optional","standard","no","standard","USA"
"Ford Focus","Ford","Focus","Focus 2.0 TDCi 140 Zetec 2011 5d","Diesel",9.89822372286103,4,7.59940133341582,"Front",4.9416424226093,5.46383180502561,8.9,4.85981240436167,56,1421,4358,1823,1484,"no","standard","standard","optional","standard","no","no","no","no","optional","standard","optional","standard","USA"
"Ford Focus Estate","Ford","Focus Estate","Focus 2.0 TDCi 140 Zetec 2011 5d Est","Diesel",9.95203959311829,4,7.59940133341582,"Front",4.9416424226093,5.46383180502561,9.1,4.85981240436167,56,1460,4556,1823,1505,"no","standard","standard","optional","standard","no","no","no","no","optional","standard","optional","standard","USA"
"Ford Focus ST","Ford","Focus ST","Focus 2.0T 250 ST 5d Est","Petrol",10.0473714228647,4,7.6004023345004,"Front",5.52146091786225,5.52146091786225,6.5,5.03695260241363,39,1386,4566,1823,1505,"no","standard","standard","no","no","no","no","no","no","no","standard","no","standard","USA"
"Ford Galaxy","Ford","Galaxy","Galaxy 2.0 TDCi 163 Titanium 2010 5d","Diesel",10.219939280984,4,7.59940133341582,"Front",5.09375020080676,5.52146091786225,9.5,4.83628190695148,49,1733,4820,1884,1764,"standard","standard","standard","optional","standard","standard","standard","optional","optional","standard","standard","optional","standard","USA"
"Ford Kuga","Ford","Kuga","Kuga 2.0 TDCi 140 FWD Titanium X 5d","Diesel",10.195970581929,4,7.59940133341582,"Front",4.9416424226093,5.52146091786225,10.6,4.77068462446567,53,NA,4524,1838,1702,"standard","standard","standard","no","standard","standard","standard","standard","standard","optional","standard","optional","standard","USA"
"Ford Mondeo","Ford","Mondeo","Mondeo 2.0 TDCi 163 Zetec Business Edition 5d","Diesel",9.98943586467249,4,NA,"Front",NA,NA,0,NA,NA,NA,4882,1886,1500,"optional","standard","no/optional","optional","no","no","standard","no","no","standard","standard","standard","standard","USA"
"Ford S-MAX","Ford","S-MAX","S-Max 2.0 203 Ecoboost Titanium 2010 5d","Petrol",10.1509333963733,4,7.6004023345004,"Front",5.31320597904179,5.39816270151775,8.2,4.91998092582813,34,1676,4768,1884,1658,"standard","standard","standard","standard","standard","standard","standard","no","optional","standard","standard","optional","standard","USA"
"Honda Accord","Honda","Accord","Accord 2.2 i-DTEC ES GT 5d Tourer","Diesel",10.1901691246543,4,7.69575799055476,NA,5.01063529409626,5.55295958492162,9.8,4.85203026391962,51,1598,4750,1840,1470,"no","standard","standard","optional","standard","standard","standard","no","no","no","standard","no","standard","Asia"
"Honda Civic","Honda","Civic","Civic 2.2 i-DTEC ES 5d","Diesel",9.97557562893038,4,7.69575799055476,"Front",5.01063529409626,5.55295958492162,8.5,4.90527477843843,67,1367,4300,1770,1470,"standard","standard","standard","no","standard","standard","standard","no","no","no","standard","optional","standard","Asia"
"Honda CR-V","Honda","CR-V","CR-V 2.2 i-DTEC 4WD SE 5d","Diesel",10.1698821458447,4,7.69575799055476,"4WD",5.01063529409626,5.55295958492162,9.7,4.77068462446567,50,1653,4570,1820,1685,"standard","standard","standard","optional","standard","standard","standard","no","no","standard","standard","optional","standard","Asia"
"Honda CR-Z","Honda","CR-Z","CR-Z 1.5 hybrid 137 GT 3d","Petrol",10.0454210484248,4,7.31121838441963,"Front",4.91998092582813,4.9416424226093,9.5,4.82028156560504,54,NA,4075,1740,1395,"standard","standard","no/optional","no","standard","standard","standard","no","standard","standard","standard","optional","standard","Asia"
"Honda Insight","Honda","Insight","Insight 1.3 hybrid HS 5d","Petrol",9.92009881834132,4,7.19967834569117,"Front",4.58496747867057,4.81218435537242,12.5,4.72738781871234,65,1243,4395,1695,1435,"standard","standard","no/optional","standard","optional","standard","standard","no","no","standard","standard","optional","standard","Asia"
"Honda Jazz","Honda","Jazz","Jazz 1.4 i-VTEC ES-T 2012 5d","Petrol",9.59865932124938,4,7.19967834569117,"Front",4.58496747867057,4.54329478227,11.8,4.72738781871234,50,1112,3900,1695,1525,"no","standard","standard","optional","standard","standard","no","no","no","no","standard","standard","standard","Asia"
"Hyundai i10","Hyundai","i10","i10 1.0 66 Blue Drive SE 5d","Petrol",9.1689974084418,3,6.90575327631146,"Front",4.18965474202643,4.23410650459726,15.1,4.56434819146784,65,933,3665,1660,1500,"no","no","no/optional","no","no","standard","no","no","no","no","standard","no","standard","Asia"
"Hyundai i20","Hyundai","i20","i20 1.4 Active 5d","Petrol",9.40054742304413,4,7.24136628332232,"Front",4.59511985013459,4.61512051684126,12.9,4.66343909411207,54,1156,3995,1710,1490,"no","standard","no/optional","optional","standard","no","no","no","no","no","standard","no","standard","Asia"
"Hyundai i30","Hyundai","i30","i30 1.4 CRDi 90 Active 5d","Petrol",9.75527752537094,4,7.24136628332232,"Front",4.48863636973214,5.08759633523238,13.5,4.66343909411207,68,1401,4300,1780,1470,"no","standard","no/optional","no","standard","no","standard","no","optional","standard","standard","no","standard","Asia"
"Hyundai i40","Hyundai","i40","i40 1.7 CRDi 136 Style 4d","Diesel",9.95203959311829,4,7.42952084278646,"Front",4.91265488573605,5.48063892334199,10.6,4.82028156560504,55,1601,4740,1815,1470,"no","standard","no/optional","optional","standard","standard","standard","no","no","standard","standard","standard","standard","Asia"
"Hyundai i800","Hyundai","i800","i800 2.5 CRDi","Diesel",9.95963156315417,4,7.82284529027977,"Front",5.12396397940326,5.66642668811243,14.5,4.71849887129509,33,2270,5125,1920,1925,"no","no","standard","no","no","no","no","no","optional","standard","standard","optional","standard","Asia"
"Hyundai ix20","Hyundai","ix20","ix20 1.4 CRDi 90 Active 5d","Diesel",9.57810361290034,4,7.24136628332232,"Front",4.48863636973214,5.08759633523238,14.5,4.64439089914137,65,1268,4100,1765,1600,"no","standard","standard","no","standard","no","no","no","no","standard","standard","optional","standard","Asia"
"Hyundai ix35","Hyundai","ix35","ix35 2.0 CRDi 136 4WD Style 5d","Diesel",9.93547059838918,4,7.59839932932396,"4WD",4.89783979995091,5.46383180502561,10.2,4.71849887129509,49,1679,4410,1820,1660,"no","standard","standard","no","standard","no","no","no","no","standard","standard","no","standard","Asia"
"Hyundai Santa Fe","Hyundai","Santa Fe","Santa Fe 2.2 CRDi 4WD Style 5d 7st","Diesel",10.2433469035463,4,7.69575799055476,"4WD",5.28320372873799,5.73979291217923,9.8,4.77068462446567,46,NA,4690,1820,1865,"no","standard","standard","optional","standard","no","no","no","no","standard","standard","no","standard","Asia"
"Hyundai Veloster","Hyundai","Veloster","Veloster 1.6 GDI Sport 4d","Petrol",9.92793623293844,4,7.37211802833779,"Front",4.92725368515721,4.81218435537242,9.7,4.8283137373023,43,1236,4220,1790,1399,"no","standard","standard","optional","standard","standard","standard","no","standard","standard","standard","optional","standard","Asia"
"Infiniti EX","Infiniti","EX","EX37 3.7 V6 GT 5d","Petrol",10.6437568401648,6,8.21500643276157,"4WD",5.76832099579377,5.57972982598622,6.4,5.00394630594546,25,1876,4635,1800,1600,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Asia"
"Infiniti FX","Infiniti","FX","FX37 3.7 V6 Premium 5d","Petrol",10.8434948110276,6,8.21500643276157,"4WD",5.76832099579377,5.57972982598622,6.8,5.00394630594546,23,2012,4865,1925,1680,"standard","standard","standard","standard","standard","standard","standard","no","no","standard","standard","standard","standard","Asia"
"Infiniti G37","Infiniti","G37","G37 Coupe 3.7 V6 S 2d","Petrol",10.5518204048062,6,8.21500643276157,"Rear",5.76832099579377,5.57972982598622,5.9,5.04342511691925,26,1718,4655,1820,1387,"standard","standard","no/optional","standard","standard","standard","standard","standard","no","standard","standard","no","standard","Asia"
"Infiniti M","Infiniti","M","M37 GT Premium 4d","Petrol",10.6930806313643,6,8.21500643276157,"Rear",5.76832099579377,5.57972982598622,6.2,5.04342511691925,27,1715,4945,1845,1500,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Asia"
"Jaguar F-Type","Jaguar","F-Type","F-Type 3.0 V6 SC 380 S 2d","Petrol",11.1201791292698,6,8.00469951054955,"Rear",5.94017125272043,5.82600010738045,4.9,5.14166355650266,31,1614,4470,1923,1308,"optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Jaguar XF","Jaguar","XF","XF 3.0D 240 Premium Luxury 4d","Diesel",10.599256293801,6,8.0040315078527,"Rear",5.48063892334199,5.91079664404053,7.1,5.00394630594546,47,1770,4961,1877,1460,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Jaguar XF Sportbrake","Jaguar","XF Sportbrake","XF Sportbrake 2.2D 200 Premium Luxury 5d est","Petrol",10.5888545457771,4,7.68662133494462,"Rear",5.29831736654804,5.80513496891649,8.8,4.89783979995091,55,1824,4966,1877,1480,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Jaguar XFR","Jaguar","XFR","XF 5.0 V8 S/C 510 XFR 4d","Petrol",11.0879716802782,8,8.51719319141624,"Rear",6.23441072571837,6.13339804299665,4.9,5.04342511691925,25,1875,4961,1877,1460,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Jaguar XJ Series","Jaguar","XJ Series","XJ L 3.0 S/C 340 Portfolio 4d","Petrol",11.236051441235,6,8.00469951054955,"Rear",5.82894561761021,5.80513496891649,5.9,5.04342511691925,30,1799,5252,1899,1457,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Jaguar XK","Jaguar","XK","XK 5.0 V8 SC XKR 2d Coupe","Petrol",11.2714906436838,8,8.51719319141624,"Rear",6.23441072571837,6.13339804299665,4.6,5.04342511691925,23,1753,NA,NA,NA,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Jeep Compass","Jeep","Compass","Compass 2.4 CVT 4x4 Limited 5d","Petrol",10.0127902874266,4,7.76641689801966,"4WD",5.12396397940326,5.08759633523238,10.7,4.75359019110636,32,1530,4448,1812,1663,"no","no","standard","no","standard","standard","standard","standard","standard","no","standard","optional","standard","USA"
"Jeep Grand Cherokee","Jeep","Grand Cherokee","Grand cherokee 3.0 V6 CRD 247 Overland 5d","Diesel",10.7297441617063,6,8.00202481821611,"4WD",5.50938833662798,6.04025471127741,8.2,4.83628190695148,37,2328,4828,1943,1792,"standard","standard","no/optional","standard","standard","no","standard","standard","standard","standard","standard","standard","standard","USA"
"Jeep Wrangler","Jeep","Wrangler","Wrangler 2.8 CRD Sahara auto 2d","Diesel",10.1656594908178,4,7.9291264873068,"4WD",5.28320372873799,5.82600010738045,12.9,4.67282883446191,34,2075,4223,1873,1840,"no","no","standard","standard","standard","no","standard","no","no","no","standard","optional","standard","USA"
"Kia Cee'd","Kia","Cee'd","cee'd 1.6 CRDi 126 ISG 2 5d Sportswagon","Diesel",9.86760127397172,4,7.3664451483276,"Front",4.83628190695148,5.25749537202778,10.8,4.78749174278205,64,1420,4505,1780,1485,"no","standard","standard","optional","standard","no","standard","no","no","standard","standard","no","standard","Asia"
"Kia Optima","Kia","Optima","Optima 1.7 CRDi 134 2 Luxe 4d","Diesel",9.98483709823245,4,7.42952084278646,"Front",4.89783979995091,5.47646355193151,10.2,4.8283137373023,57,1559,4845,1830,1455,"standard","standard","standard","optional","standard","standard","standard","standard","standard","standard","standard","no","standard","Asia"
"Kia Picanto","Kia","Picanto","Picanto 1.0 City 3d","Petrol",9.234545060673,3,6.90575327631146,"Front",4.21950770517611,4.24849524204936,13.9,4.55387689160054,67,1015,3595,1595,1480,"standard","standard","no/optional","no","standard","no","no","no","no","standard","standard","no","standard","Asia"
"Kia Rio","Kia","Rio","Rio 1.1 CRDi EcoDynamics 1 Air 5d","Diesel",9.44896349413878,3,7.02108396428914,"Front",4.30406509320417,4.8283137373023,15.5,4.58496747867057,78,1191,4045,1720,1455,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","standard","Asia"
"Kia Sorento","Kia","Sorento","Sorento 2.2 CRDi 194 KX-2 5d","Diesel",10.2714238487519,4,7.69575799055476,"4WD",5.26785815906333,5.73979291217923,9.4,4.77068462446567,47,NA,4685,1895,1735,"standard","standard","no/optional","optional","no","standard","standard","no","no","standard","standard","optional","standard","Asia"
"Kia Soul","Kia","Soul","Soul 1.6 GDi Quantum 5d","Petrol",9.65502619323763,4,7.37211802833779,"Front",4.92725368515721,4.80402104473326,10,4.71849887129509,44,1245,4120,1785,1610,"no","no","no/optional","no","standard","standard","no","no","standard","standard","standard","no","standard","Asia"
"Kia Sportage","Kia","Sportage","Sportage 2.0 AWD KX-2 5d","Petrol",9.97743479748821,4,7.5999019592085,"4WD",5.08140436498446,4.96284463025991,10.3,4.72738781871234,37,1525,4440,1855,1645,"no","standard","no/optional","optional","standard","no","standard","no","no","standard","standard","no","standard","Asia"
"Kia Venga","Kia","Venga","Venga 1.4 CRDi 89 1 Air 5d","Diesel",9.52478608169718,4,7.24136628332232,"Front",4.48863636973214,5.08759633523238,14,4.63472898822964,62,1345,4068,1765,1600,"no","standard","standard","no","no","no","no","no","no","no","standard","no","standard","Asia"
"Lamborghini Aventador","Lamborghini","Aventador","Aventador 6.5 V12 LP700-4 2d","Petrol",12.4907439401356,12,8.77924971622905,"4WD",6.5510803350434,6.23244801655052,2.9,5.37989735354046,17,1575,4780,2030,1136,"standard","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard","Europe"
"Lamborghini Gallardo","Lamborghini","Gallardo","Gallardo 5.2 V10 LP 560-4 2d Spyder","Petrol",12.0491088459225,10,8.5571828396324,"4WD",6.32793678372919,5.98645200528444,4,5.30330490805908,19,NA,NA,NA,NA,"no","no","no/optional","no","no","no","no","no","no","no","no","no","no","Europe"
"Land Rover Defender","Land Rover","Defender","Defender 2.2D County 5d 110","Diesel",10.2468999362413,4,7.69530313496357,"4WD",4.80402104473326,5.57972982598622,14.7,4.49980967033027,25,2120,4785,1790,1790,"no","no","no/optional","no","optional","no","no","no","no","no","no","no","no","Europe"
"Land Rover Discovery 4","Land Rover","Discovery 4","Discovery 4 3.0 SDV6 255 XS 5d 2012","Diesel",10.696366939495,6,8.0040315078527,"4WD",5.54517744447956,6.09356977004514,8.8,4.71849887129509,32,2583,4829,NA,1887,"no","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","standard","standard","Europe"
"Land Rover Freelander 2","Land Rover","Freelander 2","Freelander 2 2.2 eD4 150 Dynamic 5d","Diesel",10.3828225092107,4,7.68662133494462,"Front",5.01063529409626,5.73657229747919,11.7,4.71849887129509,47,1710,4500,2005,1740,"standard","standard","no/optional","no","no","standard","standard","standard","standard","standard","standard","no","standard","Europe"
"Land Rover Range Rover","Land Rover","Range Rover","Range Rover 4.4 SDV8 Vogue SE 5d","Diesel",11.3468118470205,8,8.38183155348556,"4WD",5.82600010738045,6.24610676548156,6.5,4.90527477843843,32,2360,4999,2073,1835,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Land Rover Range Rover Evoque","Land Rover","Range Rover Evoque","Evoque 2.2 eD4 150 2WD Prestige 5d","Diesel",10.5049305438857,4,7.68662133494462,"Front",5.01063529409626,5.63478960316925,10.6,4.71849887129509,56,NA,4365,1965,1635,"standard","no","no/optional","no","standard","standard","standard","standard","standard","standard","no","standard","standard","Europe"
"Land Rover Range Rover Sport","Land Rover","Range Rover Sport","Range Rover Sport 3.0 SDV6 HSE Dynamic 5d","Diesel",11.0820656228421,6,8.0040315078527,"4WD",5.67675380226828,6.0913098820777,6.8,4.86753445045558,37,2115,4850,2073,1780,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Lexus CT 200h","Lexus","CT 200h","CT 200h Luxury 5d","Petrol",10.1656594908178,4,7.49443021503157,"Front",4.91265488573605,4.64439089914137,10.3,4.70953020131233,68,1370,4320,1765,1430,"no","standard","standard","standard","standard","standard","standard","no","standard","standard","standard","optional","standard","Asia"
"Lexus GS","Lexus","GS","GS 300h Premier 4d","Petrol",10.6861325995404,4,7.82164312623998,"Rear",5.39362754635236,5.09375020080676,9.2,4.77912349311153,57,1730,4850,1840,1455,"no","no","no/optional","standard","no","no","no","no","no","no","no","no","no","Asia"
"Lexus IS","Lexus","IS","IS 5.0 V8 F","Petrol",10.9753451038954,8,8.51097389160232,"Rear",6.0330862217988,5.91889385427315,4.8,5.12396397940326,24,1700,4660,1815,1405,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Asia"
"Lexus RX","Lexus","RX","RX 450h Luxury 5d","Petrol",10.7892159788276,6,8.14786712992395,"4WD",5.68697535633982,5.4510384535657,7.8,4.82028156560504,44,2110,4770,1885,1755,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Asia"
"Lotus Elise","Lotus","Elise","Elise 0.0 S 2d","Petrol",10.4968143978139,4,NA,"Rear",NA,NA,0,NA,NA,876,3785,1850,1117,"no","no","standard","no","no","no","no","no","optional","no","no","no","no","Europe"
"Lotus Evora","Lotus","Evora","Evora 3.5 S 2d","Petrol",11.0112247489812,6,8.14786712992395,"Rear",5.84354441703136,5.68697535633982,4.6,5.14749447681345,28,1436,4360,1850,1229,"no","standard","no/optional","optional","optional","no","optional","no","standard","optional","standard","no","standard","Europe"
